"","prec","district","party","votes"
"1","p19",2,"DEM",213
"2","p21",2,"DEM",263
"3","p23",2,"DEM",337
"4","p31",2,"DEM",589
"5","p32",2,"DEM",318
"6","p33",2,"DEM",359
"7","p34",2,"DEM",377
"8","p35",2,"DEM",409
"9","p36",2,"DEM",347
"10","p37",2,"DEM",432
"11","p38",2,"DEM",369
"12","p39",2,"DEM",397
"13","p40",2,"DEM",384
"14","p41",2,"DEM",443
"15","p42",2,"DEM",351
"16","p46",2,"DEM",240
"17","p47",2,"DEM",203
"18","p48",2,"DEM",404
"19","p49",2,"DEM",427
"20","p51",2,"DEM",363
"21","p52",2,"DEM",448
"22","p53",2,"DEM",397
"23","p54",2,"DEM",431
"24","p55",2,"DEM",411
"25","p56",2,"DEM",299
"26","p57",2,"DEM",317
"27","p58",2,"DEM",185
"28","p59",2,"DEM",266
"29","p60",2,"DEM",251
"30","p61",2,"DEM",458
"31","p62",2,"DEM",246
"32","p19",2,"REP",388
"33","p21",2,"REP",484
"34","p23",2,"REP",630
"35","p31",2,"REP",748
"36","p32",2,"REP",343
"37","p33",2,"REP",361
"38","p34",2,"REP",375
"39","p35",2,"REP",371
"40","p36",2,"REP",601
"41","p37",2,"REP",710
"42","p38",2,"REP",474
"43","p39",2,"REP",551
"44","p40",2,"REP",495
"45","p41",2,"REP",583
"46","p42",2,"REP",498
"47","p46",2,"REP",448
"48","p47",2,"REP",260
"49","p48",2,"REP",686
"50","p49",2,"REP",533
"51","p51",2,"REP",614
"52","p52",2,"REP",578
"53","p53",2,"REP",456
"54","p54",2,"REP",482
"55","p55",2,"REP",579
"56","p56",2,"REP",413
"57","p57",2,"REP",313
"58","p58",2,"REP",365
"59","p59",2,"REP",399
"60","p60",2,"REP",320
"61","p61",2,"REP",763
"62","p62",2,"REP",292
"63","p1",1,"DEM",234
"64","p2",1,"DEM",161
"65","p3",1,"DEM",271
"66","p4",1,"DEM",252
"67","p5",1,"DEM",215
"68","p6",1,"DEM",272
"69","p7",1,"DEM",246
"70","p8",1,"DEM",167
"71","p9",1,"DEM",204
"72","p10",1,"DEM",172
"73","p11",1,"DEM",258
"74","p12",1,"DEM",214
"75","p13",1,"DEM",323
"76","p16",1,"DEM",343
"77","p17",1,"DEM",334
"78","p18",1,"DEM",227
"79","p19",1,"DEM",199
"80","p20",1,"DEM",338
"81","p21",1,"DEM",139
"82","p22",1,"DEM",261
"83","p24",1,"DEM",135
"84","p25",1,"DEM",148
"85","p26",1,"DEM",245
"86","p1",1,"REP",284
"87","p2",1,"REP",442
"88","p3",1,"REP",463
"89","p4",1,"REP",542
"90","p5",1,"REP",458
"91","p6",1,"REP",508
"92","p7",1,"REP",496
"93","p8",1,"REP",528
"94","p9",1,"REP",391
"95","p10",1,"REP",330
"96","p11",1,"REP",675
"97","p12",1,"REP",567
"98","p13",1,"REP",800
"99","p16",1,"REP",551
"100","p17",1,"REP",526
"101","p18",1,"REP",379
"102","p19",1,"REP",426
"103","p20",1,"REP",559
"104","p21",1,"REP",403
"105","p22",1,"REP",489
"106","p24",1,"REP",438
"107","p25",1,"REP",365
"108","p26",1,"REP",600
"109","doug",2,"DEM",72938
"110","doug",2,"REP",63044
"111","lanc",1,"DEM",50480
"112","lanc",1,"REP",108106
