"","prec","district","party","candidate","votes"
"1","p1","1","REP","Jeff Fortenberry","399"
"2","p1","1","DEM","Jessica McClure","411"
"3","p10","1","REP","Jeff Fortenberry","399"
"4","p10","1","DEM","Jessica McClure","270"
"5","p11","1","REP","Jeff Fortenberry","913"
"6","p11","1","DEM","Jessica McClure","548"
"7","p12","1","REP","Jeff Fortenberry","866"
"8","p12","1","DEM","Jessica McClure","457"
"9","p13","1","REP","Jeff Fortenberry","891"
"10","p13","1","DEM","Jessica McClure","541"
"11","p16","1","REP","Jeff Fortenberry","615"
"12","p16","1","DEM","Jessica McClure","505"
"13","p17","1","REP","Jeff Fortenberry","633"
"14","p17","1","DEM","Jessica McClure","494"
"15","p18","1","REP","Jeff Fortenberry","423"
"16","p18","1","DEM","Jessica McClure","430"
"17","p19","1","REP","Jeff Fortenberry","589"
"18","p19","1","DEM","Jessica McClure","408"
"19","p2","1","REP","Jeff Fortenberry","523"
"20","p2","1","DEM","Jessica McClure","279"
"21","p20","1","REP","Jeff Fortenberry","701"
"22","p20","1","DEM","Jessica McClure","615"
"23","p21","1","REP","Jeff Fortenberry","429"
"24","p21","1","DEM","Jessica McClure","280"
"25","p22","1","REP","Jeff Fortenberry","582"
"26","p22","1","DEM","Jessica McClure","499"
"27","p24","1","REP","Jeff Fortenberry","578"
"28","p24","1","DEM","Jessica McClure","297"
"29","p25","1","REP","Jeff Fortenberry","506"
"30","p25","1","DEM","Jessica McClure","395"
"31","p26","1","REP","Jeff Fortenberry","633"
"32","p26","1","DEM","Jessica McClure","435"
"33","p3","1","REP","Jeff Fortenberry","650"
"34","p3","1","DEM","Jessica McClure","565"
"35","p4","1","REP","Jeff Fortenberry","627"
"36","p4","1","DEM","Jessica McClure","455"
"37","p5","1","REP","Jeff Fortenberry","512"
"38","p5","1","DEM","Jessica McClure","365"
"39","p6","1","REP","Jeff Fortenberry","573"
"40","p6","1","DEM","Jessica McClure","466"
"41","p7","1","REP","Jeff Fortenberry","533"
"42","p7","1","DEM","Jessica McClure","375"
"43","p8","1","REP","Jeff Fortenberry","648"
"44","p8","1","DEM","Jessica McClure","319"
"45","p9","1","REP","Jeff Fortenberry","492"
"46","p9","1","DEM","Jessica McClure","393"
"47","p19","2","REP","Don Bacon","610"
"48","p19","2","DEM","Kara Eastman","296"
"49","p21","2","REP","Don Bacon","815"
"50","p21","2","DEM","Kara Eastman","341"
"51","p23","2","REP","Don Bacon","1198"
"52","p23","2","DEM","Kara Eastman","571"
"53","p31","2","REP","Don Bacon","1346"
"54","p31","2","DEM","Kara Eastman","853"
"55","p32","2","REP","Don Bacon","589"
"56","p32","2","DEM","Kara Eastman","433"
"57","p33","2","REP","Don Bacon","626"
"58","p33","2","DEM","Kara Eastman","584"
"59","p34","2","REP","Don Bacon","682"
"60","p34","2","DEM","Kara Eastman","597"
"61","p35","2","REP","Don Bacon","689"
"62","p35","2","DEM","Kara Eastman","499"
"63","p36","2","REP","Don Bacon","868"
"64","p36","2","DEM","Kara Eastman","411"
"65","p37","2","REP","Don Bacon","1318"
"66","p37","2","DEM","Kara Eastman","741"
"67","p38","2","REP","Don Bacon","737"
"68","p38","2","DEM","Kara Eastman","512"
"69","p39","2","REP","Don Bacon","904"
"70","p39","2","DEM","Kara Eastman","508"
"71","p40","2","REP","Don Bacon","751"
"72","p40","2","DEM","Kara Eastman","460"
"73","p41","2","REP","Don Bacon","1104"
"74","p41","2","DEM","Kara Eastman","605"
"75","p42","2","REP","Don Bacon","778"
"76","p42","2","DEM","Kara Eastman","505"
"77","p46","2","REP","Don Bacon","791"
"78","p46","2","DEM","Kara Eastman","238"
"79","p47","2","REP","Don Bacon","440"
"80","p47","2","DEM","Kara Eastman","199"
"81","p48","2","REP","Don Bacon","1208"
"82","p48","2","DEM","Kara Eastman","550"
"83","p49","2","REP","Don Bacon","910"
"84","p49","2","DEM","Kara Eastman","559"
"85","p51","2","REP","Don Bacon","1391"
"86","p51","2","DEM","Kara Eastman","775"
"87","p52","2","REP","Don Bacon","1199"
"88","p52","2","DEM","Kara Eastman","762"
"89","p53","2","REP","Don Bacon","870"
"90","p53","2","DEM","Kara Eastman","701"
"91","p54","2","REP","Don Bacon","855"
"92","p54","2","DEM","Kara Eastman","640"
"93","p55","2","REP","Don Bacon","1062"
"94","p55","2","DEM","Kara Eastman","689"
"95","p56","2","REP","Don Bacon","708"
"96","p56","2","DEM","Kara Eastman","464"
"97","p57","2","REP","Don Bacon","575"
"98","p57","2","DEM","Kara Eastman","514"
"99","p58","2","REP","Don Bacon","730"
"100","p58","2","DEM","Kara Eastman","261"
"101","p59","2","REP","Don Bacon","746"
"102","p59","2","DEM","Kara Eastman","309"
"103","p60","2","REP","Don Bacon","625"
"104","p60","2","DEM","Kara Eastman","335"
"105","p61","2","REP","Don Bacon","1842"
"106","p61","2","DEM","Kara Eastman","822"
"107","p62","2","REP","Don Bacon","826"
"108","p62","2","DEM","Kara Eastman","608"
"109","doug","2","REP","Don Bacon","98922"
"110","lanc","1","REP","Jeff Fortenberry","127997"
"111","lanc","1","DEM","Jessica McClure","83267"
"112","doug","2","DEM","Kara Eastman","105428"
